,percent_change
2005-01-04,0.0
2005-01-05,89.70358814352574
2005-01-06,20.826833073322934
2005-01-07,65.18345042935206
2005-01-10,78.046875
2005-01-12,37.23653395784544
2005-01-13,47.69711163153786
2005-01-14,15.0
2005-01-17,10.867865519937451
2005-01-18,83.3203429462198
2005-01-19,31.640625
2005-01-20,16.796875
2005-01-21,83.29430132708822
2005-01-24,94.05320813771519
2005-01-25,24.351924587588375
2005-01-26,19.54828660436137
2005-01-27,12.860483242400624
2005-01-28,14.521193092621665
2005-01-31,9.018987341772151
2005-02-01,33.073322932917314
2005-02-02,99.06614785992218
2005-02-03,13.693270735524257
2005-02-04,88.52459016393442
2005-02-16,77.92511700468019
2005-02-17,57.43190661478599
2005-02-18,15.546874999999998
2005-02-21,94.53125
2005-02-22,98.74411302982732
2005-02-23,68.14641744548287
2005-02-24,52.931978107896796
2005-02-25,41.9984387197502
2005-02-28,33.965244865718795
2005-03-01,46.948356807511736
2005-03-02,14.941634241245136
2005-03-03,62.304075235109714
2005-03-04,24.353954581049333
2005-03-07,54.68873128447596
2005-03-08,94.67918622848201
2005-03-09,48.475371383893666
2005-03-10,7.198748043818466
2005-03-11,54.17642466822795
2005-03-14,33.77535101404056
2005-03-15,19.299610894941637
2005-03-16,30.116731517509727
2005-03-17,21.651090342679126
2005-03-18,13.917122752150119
2005-03-21,53.64134690681285
2005-03-22,15.402658326817825
2005-03-23,49.64980544747082
2005-03-24,80.67030397505846
2005-03-25,34.453125
2005-03-28,24.80252764612954
2005-03-29,32.1875
2005-03-30,10.666666666666668
2005-03-31,69.56862745098039
2005-04-01,98.50746268656717
2005-04-04,14.353312302839116
2005-04-05,25.816485225505442
2005-04-06,79.92156862745098
2005-04-07,85.11301636788777
2005-04-08,87.60852407261247
2005-04-11,41.647058823529406
2005-04-12,10.708661417322835
2005-04-13,94.31906614785991
2005-04-14,17.133956386292834
2005-04-15,15.698587127158556
2005-04-18,22.900158478605388
2005-04-19,58.9159465828751
2005-04-20,18.045705279747835
2005-04-22,31.926751592356688
2005-04-25,24.302788844621514
2005-04-26,80.99838969404188
2005-04-27,22.50196695515342
2005-04-28,87.74193548387098
2005-04-29,20.83000798084597
2005-05-09,8.966074313408724
2005-05-10,49.558232931726906
2005-05-11,33.51778656126482
2005-05-12,44.76650563607085
2005-05-13,73.78872120730739
2005-05-16,33.6283185840708
2005-05-17,77.47819191118161
2005-05-18,70.87691069991955
2005-05-19,44.68922108575924
2005-05-20,26.122448979591837
2005-05-23,8.138597904915391
2005-05-24,87.83570300157977
2005-05-25,57.302474062250596
2005-05-26,22.439024390243905
2005-05-27,30.361445783132528
2005-05-30,80.47775947281714
2005-05-31,38.55421686746988
2005-06-01,10.132501948558067
2005-06-02,31.739811912225708
2005-06-03,42.12999216914643
2005-06-06,79.87470634299139
2005-06-07,50.35128805620609
2005-06-08,100.0
2005-06-09,57.53317720530835
2005-06-10,13.847364280094416
2005-06-13,59.811616954474104
2005-06-14,14.274570982839313
2005-06-15,9.44574551131928
2005-06-16,69.65408805031447
2005-06-20,94.17077175697865
2005-06-21,24.93946731234867
2005-06-22,55.64581640942323
2005-06-23,20.09685230024213
2005-06-24,55.90872045639772
2005-06-27,97.7850697292863
2005-06-28,13.076923076923078
2005-06-29,27.650897226753667
2005-06-30,6.622516556291391
2005-07-01,7.057890563045202
2005-07-04,27.35177865612648
2005-07-05,30.329153605015673
2005-07-06,38.41940532081377
2005-07-07,64.24668227946917
2005-07-08,8.5423197492163
