Date,USD,GBP,EURO
1968-01-02,2.173,0.90417,
1968-01-03,2.225,0.925,
1968-01-04,2.171,0.90208,
1968-01-05,2.157,0.89583,
1968-01-08,2.163,0.89792,
1968-01-09,2.109,0.875,
1968-01-10,2.085,0.86458,
1968-01-11,2.094,0.86875,
1968-01-12,2.127,0.88333,
1968-01-15,2.114,0.87708,
1968-01-16,2.069,0.85833,
1968-01-17,2.067,0.85833,
1968-01-18,2.058,0.85417,
1968-01-19,2.078,0.8625,
1968-01-22,2.088,0.86667,
1968-01-23,2.08,0.86354,
1968-01-24,2.064,0.85625,
1968-01-25,2.018,0.8375,
1968-01-26,2.069,0.85833,
1968-01-29,2.039,0.84583,
1968-01-30,2.019,0.8375,
1968-01-31,1.96,0.8125,
1968-02-01,1.995,0.82708,
1968-02-02,2.02,0.8375,
1968-02-05,2.0,0.82917,
1968-02-06,1.948,0.80833,
1968-02-07,1.965,0.81458,
1968-02-08,1.979,0.82083,
1968-02-09,1.938,0.80417,
1968-02-12,1.929,0.8,
1968-02-13,1.923,0.79792,
1968-02-14,1.919,0.79583,
1968-02-15,1.939,0.80417,
1968-02-16,1.999,0.82917,
1968-02-19,1.969,0.81667,
1968-02-20,1.98,0.82083,
1968-02-21,2.03,0.84167,
1968-02-22,2.029,0.84167,
1968-02-23,2.017,0.8375,
1968-02-26,2.065,0.85833,
1968-02-27,2.105,0.875,
1968-02-28,2.105,0.875,
1968-02-29,2.084,0.86667,
1968-03-01,2.2,0.91667,
1968-03-04,2.19,0.9125,
1968-03-05,2.188,0.9125,
1968-03-06,2.134,0.8875,
1968-03-07,2.189,0.9125,
1968-03-08,2.228,0.93125,
1968-03-11,2.197,0.91667,
1968-03-12,2.222,0.92708,
1968-03-13,2.37,0.98958,
1968-03-14,2.49,1.04167,
1968-03-18,2.119,0.88333,
1968-03-19,2.404,1.0,
1968-03-20,2.237,0.92917,
1968-03-21,2.303,0.95833,
1968-03-22,2.218,0.92292,
1968-03-25,2.241,0.93333,
1968-03-26,2.243,0.93333,
1968-03-27,2.302,0.95833,
1968-03-28,2.249,0.9375,
1968-03-29,2.278,0.95,
1968-04-01,2.259,0.93958,
1968-04-02,2.202,0.91563,
1968-04-03,2.195,0.9125,
1968-04-04,2.125,0.88333,
1968-04-05,2.104,0.875,
1968-04-08,2.134,0.8875,
1968-04-09,2.205,0.91667,
1968-04-10,2.203,0.91667,
1968-04-11,2.161,0.9,
1968-04-16,2.253,0.9375,
1968-04-17,2.303,0.95833,
1968-04-18,2.232,0.92917,
1968-04-19,2.281,0.95,
1968-04-22,2.36,0.98333,
1968-04-23,2.36,0.98333,
1968-04-24,2.299,0.95833,
1968-04-25,2.308,0.9625,
1968-04-26,2.327,0.97083,
1968-04-29,2.396,1.0,
1968-04-30,2.397,1.0,
1968-05-01,2.357,0.98333,
1968-05-02,2.297,0.95833,
1968-05-03,2.315,0.96667,
1968-05-06,2.335,0.975,
1968-05-07,2.245,0.9375,
1968-05-08,2.321,0.96875,
1968-05-09,2.319,0.96875,
1968-05-10,2.361,0.9875,
1968-05-13,2.359,0.9875,
1968-05-14,2.379,0.99583,
1968-05-15,2.401,1.00417,
1968-05-16,2.459,1.02917,
1968-05-17,2.505,1.05,
1968-05-20,2.506,1.05,
1968-05-21,2.554,1.07083,
1968-05-22,2.467,1.03333,
1968-05-23,2.48,1.03958,
1968-05-24,2.503,1.05,
1968-05-27,2.515,1.05417,
1968-05-28,2.49,1.04375,
1968-05-29,2.416,1.0125,
1968-05-30,2.477,1.03958,
1968-05-31,2.483,1.04167,
1968-06-04,2.426,1.01667,
1968-06-05,2.421,1.01458,
1968-06-06,2.454,1.02917,
1968-06-07,2.478,1.03958,
1968-06-10,2.446,1.025,
1968-06-11,2.506,1.05,
1968-06-12,2.576,1.07917,
1968-06-13,2.52,1.05625,
1968-06-14,2.465,1.03333,
1968-06-17,2.432,1.01875,
1968-06-18,2.431,1.01875,
1968-06-19,2.534,1.0625,
1968-06-20,2.468,1.03542,
1968-06-21,2.449,1.02708,
1968-06-24,2.483,1.04167,
1968-06-25,2.512,1.05417,
1968-06-26,2.493,1.04583,
1968-06-27,2.492,1.04583,
1968-06-28,2.502,1.05,
1968-07-01,2.512,1.05417,
