Date Time,Open,High,Low,Close,Volume
"2008-08-11,一",3670,3670,3550,3553,"12,924"
"2008-08-12,二",3530,3560,3343,3343,"21,236"
"2008-08-13,三",3370,3558,3310,3479,"23,932"
"2008-08-14,四",3456,3492,3371,3470,"18,664"
"2008-08-15,五",3403,3425,3195,3195,"32,716"
"2008-08-18,一",3221,3236,3135,3212,"9,206"
"2008-08-19,二",3179,3195,2983,3013,"28,086"
"2008-08-21,四",3150,3220,3081,3188,"30,538"
"2008-08-22,五",3240,3250,3200,3237,"25,028"
"2008-08-25,一",3109,3166,3035,3166,"9,418"
"2008-08-26,二",3181,3188,3127,3145,"14,496"
"2008-08-27,三",3103,3207,3103,3195,"20,556"
"2008-08-28,四",3165,3201,3164,3195,"13,146"
"2008-08-29,五",3250,3254,3182,3210,"25,568"
"2008-09-01,一",3163,3230,3163,3225,"4,176"
"2008-09-02,二",3171,3198,3107,3110,"20,150"
"2008-09-03,三",2999,3088,2978,3020,"27,952"
"2008-09-04,四",3068,3119,3035,3114,"18,782"
"2008-09-05,五",3090,3128,3041,3081,"23,376"
"2008-09-08,一",3140,3140,3080,3112,"13,832"
"2008-09-09,二",3120,3125,3040,3066,"22,070"
"2008-09-10,三",3025,3055,2901,2940,"32,140"
"2008-09-11,四",2950,2960,2810,2810,"34,178"
"2008-09-12,五",2813,2839,2669,2717,"32,382"
"2008-09-16,二",2730,2756,2602,2680,"14,562"
"2008-09-17,三",2642,2711,2600,2709,"22,262"
"2008-09-18,四",2750,2853,2706,2853,"33,912"
"2008-09-19,五",3044,3044,2925,2939,"54,514"
"2008-09-22,一",3000,3027,2952,3018,"15,146"
"2008-09-23,二",3035,3200,3035,3140,"45,566"
"2008-09-24,三",3150,3198,3110,3132,"30,738"
"2008-09-25,四",3185,3190,3081,3141,"38,798"
"2008-09-26,五",3116,3162,3073,3110,"28,194"
"2008-10-06,一",2804,2804,2804,2804,"2,802"
"2008-10-07,二",2808,2841,2776,2824,"27,876"
"2008-10-08,三",2877,2895,2815,2880,"20,450"
"2008-10-09,四",2921,2938,2858,2869,"18,572"
"2008-10-10,五",2861,3000,2853,2982,"25,886"
"2008-10-13,一",2731,2731,2731,2731,"7,478"
"2008-10-14,二",2665,2738,2630,2691,"38,164"
"2008-10-15,三",2699,2720,2655,2703,"12,822"
"2008-10-16,四",2650,2695,2603,2615,"32,128"
"2008-10-17,五",2630,2635,2470,2503,"34,612"
"2008-10-20,一",2518,2518,2463,2480,"9,758"
"2008-10-21,二",2456,2514,2426,2444,"24,768"
"2008-10-22,三",2388,2499,2388,2437,"31,792"
"2008-10-23,四",2420,2466,2338,2355,"33,588"
"2008-10-24,五",2330,2412,2310,2345,"35,308"
"2008-10-27,一",2385,2415,2315,2316,"18,736"
"2008-10-28,二",2305,2358,2297,2354,"40,876"
"2008-10-29,三",2340,2347,2308,2325,"27,458"
"2008-10-30,四",2395,2450,2356,2439,"55,530"
"2008-10-31,五",2401,2426,2338,2347,"39,298"
"2008-11-03,一",2401,2421,2380,2408,"18,516"
"2008-11-04,二",2391,2398,2362,2374,"16,074"
"2008-11-05,三",2417,2445,2392,2430,"37,960"
"2008-11-06,四",2435,2445,2408,2410,"25,072"
"2008-11-07,五",2420,2440,2390,2405,"34,072"
"2008-11-10,一",2413,2425,2410,2422,"4,852"
"2008-11-11,二",2425,2435,2410,2418,"11,514"
"2008-11-12,三",2398,2400,2365,2380,"22,290"
"2008-11-13,四",2350,2360,2215,2259,"30,282"
"2008-11-14,五",2279,2297,2215,2290,"36,782"
"2008-11-17,一",2325,2325,2300,2325,"8,864"
"2008-11-18,二",2313,2323,2273,2291,"13,456"
"2008-11-19,三",2281,2320,2278,2313,"14,072"
"2008-11-20,四",2300,2345,2280,2297,"31,400"
"2008-11-21,五",2312,2313,2237,2266,"35,666"
"2008-11-24,一",2349,2349,2295,2303,"20,518"
"2008-11-25,二",2350,2430,2350,2409,"50,358"
"2008-11-26,三",2389,2433,2381,2403,"23,738"
"2008-11-27,四",2409,2418,2395,2409,"12,216"
"2008-11-28,五",2414,2417,2408,2415,"5,546"
"2008-12-01,一",2405,2410,2396,2399,"4,254"
"2008-12-02,二",2349,2367,2282,2286,"46,814"
"2008-12-03,三",2304,2334,2302,2308,"17,346"
"2008-12-04,四",2300,2317,2280,2302,"14,654"
"2008-12-05,五",2293,2320,2290,2315,"13,186"
"2008-12-08,一",2314,2328,2303,2317,"7,272"
"2008-12-09,二",2330,2390,2318,2365,"28,822"
"2008-12-10,三",2365,2372,2329,2371,"20,196"
"2008-12-11,四",2379,2400,2365,2399,"26,514"
"2008-12-12,五",2420,2440,2367,2374,"32,314"
"2008-12-15,一",2407,2419,2397,2407,"8,300"
"2008-12-16,二",2405,2436,2400,2425,"30,236"
"2008-12-17,三",2426,2510,2418,2491,"47,814"
"2008-12-18,四",2480,2522,2480,2493,"38,900"
"2008-12-19,五",2512,2512,2440,2455,"29,956"
"2008-12-22,一",2460,2469,2459,2467,"9,172"
"2008-12-23,二",2450,2473,2440,2447,"15,622"
"2008-12-24,三",2440,2441,2378,2387,"28,530"
"2008-12-25,四",2387,2393,2360,2392,"121,626"
"2008-12-26,五",2385,2398,2375,2396,"5,752"
"2008-12-29,一",2458,2498,2458,2490,"20,184"
"2008-12-30,二",2485,2510,2465,2474,"18,548"
"2008-12-31,三",2444,2482,2443,2469,"12,468"
"2009-01-05,一",2526,2545,2516,2523,"22,354"
