,日期,数量,下跌数量
0,2010-01-04,1695,711
1,2010-01-05,1695,1115
2,2010-01-06,1698,784
3,2010-01-07,1699,340
4,2010-01-08,1705,1400
5,2010-01-11,1705,803
6,2010-01-12,1707,1571
7,2010-01-13,1710,1077
8,2010-01-14,1710,1602
9,2010-01-15,1712,1064
10,2010-01-18,1713,1403
11,2010-01-19,1713,723
12,2010-01-20,1721,260
13,2010-01-21,1722,1146
14,2010-01-22,1725,463
15,2010-01-25,1724,701
16,2010-01-26,1727,173
17,2010-01-27,1727,603
18,2010-01-28,1731,1386
19,2010-01-29,1731,1385
20,2010-02-01,1731,658
21,2010-02-02,1732,531
22,2010-02-03,1735,1345
23,2010-02-04,1735,1388
24,2010-02-05,1738,890
25,2010-02-08,1738,1069
26,2010-02-09,1742,1111
27,2010-02-10,1745,1248
28,2010-02-11,1749,758
29,2010-02-12,1747,1422
30,2010-02-22,1747,954
31,2010-02-23,1748,1112
32,2010-02-24,1748,1691
33,2010-02-25,1748,1539
34,2010-02-26,1752,977
35,2010-03-01,1752,1435
36,2010-03-02,1752,822
37,2010-03-03,1755,1369
38,2010-03-04,1755,178
39,2010-03-05,1757,1057
40,2010-03-08,1757,1347
41,2010-03-09,1757,957
42,2010-03-10,1757,490
43,2010-03-11,1757,775
44,2010-03-12,1760,393
45,2010-03-15,1760,681
46,2010-03-16,1763,1347
47,2010-03-17,1763,1734
48,2010-03-18,1766,904
49,2010-03-19,1771,1308
50,2010-03-22,1771,1131
51,2010-03-23,1774,647
52,2010-03-24,1774,1024
53,2010-03-25,1774,581
54,2010-03-26,1778,1549
55,2010-03-29,1779,1185
56,2010-03-30,1779,1176
57,2010-03-31,1783,976
58,2010-04-01,1783,1582
59,2010-04-02,1786,1020
60,2010-04-06,1786,944
61,2010-04-07,1786,1028
62,2010-04-08,1786,834
63,2010-04-09,1789,1556
64,2010-04-12,1789,1084
65,2010-04-13,1792,564
66,2010-04-14,1792,1360
67,2010-04-15,1792,548
68,2010-04-16,1794,1023
69,2010-04-19,1794,279
70,2010-04-20,1794,1254
71,2010-04-21,1799,1757
72,2010-04-22,1799,1058
73,2010-04-23,1802,756
74,2010-04-26,1802,845
75,2010-04-27,1806,408
76,2010-04-28,1807,1157
77,2010-04-29,1809,270
78,2010-04-30,1813,492
79,2010-05-04,1813,1420
80,2010-05-05,1813,1756
81,2010-05-06,1817,245
82,2010-05-07,1817,1131
83,2010-05-10,1817,801
84,2010-05-11,1820,164
85,2010-05-12,1820,824
86,2010-05-13,1820,1689
87,2010-05-14,1820,1365
88,2010-05-17,1820,169
89,2010-05-18,1824,1482
90,2010-05-19,1824,1212
91,2010-05-20,1828,643
92,2010-05-21,1828,1816
93,2010-05-24,1828,1820
94,2010-05-25,1832,835
95,2010-05-26,1836,1254
96,2010-05-27,1836,1785
97,2010-05-28,1839,697
98,2010-05-31,1839,308
99,2010-06-01,1843,569
100,2010-06-02,1843,1688
101,2010-06-03,1847,494
102,2010-06-04,1847,1603
103,2010-06-07,1847,1472
104,2010-06-08,1851,1472
105,2010-06-09,1851,1655
106,2010-06-10,1855,1206
107,2010-06-11,1855,669
108,2010-06-17,1855,463
109,2010-06-18,1859,239
110,2010-06-21,1859,1812
111,2010-06-22,1859,1448
112,2010-06-23,1863,979
113,2010-06-24,1863,1076
114,2010-06-25,1867,503
115,2010-06-28,1867,525
116,2010-06-29,1867,156
117,2010-06-30,1867,742
118,2010-07-01,1867,584
119,2010-07-02,1867,924
120,2010-07-05,1868,1212
121,2010-07-06,1872,1856
122,2010-07-07,1872,1555
123,2010-07-08,1875,596
124,2010-07-09,1875,1839
125,2010-07-12,1875,1539
126,2010-07-13,1879,609
127,2010-07-14,1879,1418
128,2010-07-15,1880,290
129,2010-07-16,1884,1491
130,2010-07-19,1884,1869
131,2010-07-20,1888,1851
