updateDate,code,code_name,industry,industryClassification
2021-11-15,sh.600000,浦发银行,银行,申万一级行业
2021-11-15,sh.600001,邯郸钢铁,,申万一级行业
2021-11-15,sh.600002,齐鲁石化,,申万一级行业
2021-11-15,sh.600003,ST东北高,,申万一级行业
2021-11-15,sh.600004,白云机场,交通运输,申万一级行业
2021-11-15,sh.600005,武钢股份,,申万一级行业
2021-11-15,sh.600006,东风汽车,汽车,申万一级行业
2021-11-15,sh.600007,中国国贸,房地产,申万一级行业
2021-11-15,sh.600008,首创环保,公用事业,申万一级行业
2021-11-15,sh.600009,上海机场,交通运输,申万一级行业
2021-11-15,sh.600010,包钢股份,钢铁,申万一级行业
2021-11-15,sh.600011,华能国际,公用事业,申万一级行业
2021-11-15,sh.600012,皖通高速,交通运输,申万一级行业
2021-11-15,sh.600015,华夏银行,银行,申万一级行业
2021-11-15,sh.600016,民生银行,银行,申万一级行业
2021-11-15,sh.600017,日照港,交通运输,申万一级行业
2021-11-15,sh.600018,上港集团,交通运输,申万一级行业
2021-11-15,sh.600019,宝钢股份,钢铁,申万一级行业
2021-11-15,sh.600020,中原高速,交通运输,申万一级行业
2021-11-15,sh.600021,上海电力,公用事业,申万一级行业
2021-11-15,sh.600022,山东钢铁,钢铁,申万一级行业
2021-11-15,sh.600023,浙能电力,公用事业,申万一级行业
2021-11-15,sh.600025,华能水电,公用事业,申万一级行业
2021-11-15,sh.600026,中远海能,交通运输,申万一级行业
2021-11-15,sh.600027,华电国际,公用事业,申万一级行业
2021-11-15,sh.600028,中国石化,化工,申万一级行业
2021-11-15,sh.600029,南方航空,交通运输,申万一级行业
2021-11-15,sh.600030,中信证券,非银金融,申万一级行业
2021-11-15,sh.600031,三一重工,机械设备,申万一级行业
2021-11-15,sh.600032,浙江新能,公用事业,申万一级行业
2021-11-15,sh.600033,福建高速,交通运输,申万一级行业
2021-11-15,sh.600035,楚天高速,交通运输,申万一级行业
2021-11-15,sh.600036,招商银行,银行,申万一级行业
2021-11-15,sh.600037,歌华有线,传媒,申万一级行业
2021-11-15,sh.600038,中直股份,国防军工,申万一级行业
2021-11-15,sh.600039,四川路桥,建筑装饰,申万一级行业
2021-11-15,sh.600048,保利发展,房地产,申万一级行业
2021-11-15,sh.600050,中国联通,通信,申万一级行业
2021-11-15,sh.600051,宁波联合,综合,申万一级行业
2021-11-15,sh.600052,浙江广厦,传媒,申万一级行业
2021-11-15,sh.600053,九鼎投资,非银金融,申万一级行业
2021-11-15,sh.600054,黄山旅游,休闲服务,申万一级行业
2021-11-15,sh.600055,万东医疗,医药生物,申万一级行业
2021-11-15,sh.600056,中国医药,医药生物,申万一级行业
2021-11-15,sh.600057,厦门象屿,交通运输,申万一级行业
2021-11-15,sh.600058,五矿发展,商业贸易,申万一级行业
2021-11-15,sh.600059,古越龙山,食品饮料,申万一级行业
2021-11-15,sh.600060,海信视像,家用电器,申万一级行业
2021-11-15,sh.600061,国投资本,非银金融,申万一级行业
2021-11-15,sh.600062,华润双鹤,医药生物,申万一级行业
2021-11-15,sh.600063,皖维高新,化工,申万一级行业
